id_bien;surface_carrez;type_local;surface_reelle;nombre_pieces;surface_terrain;voie;commune_id
15164;67.38;Appartement;67;4;;GEN LECLERC;1954
15165;44.67;Appartement;44;2;;DE LA GIRAUDIERE;1957
15166;77.39;Appartement;80;3;;JEAN JAURES;1953
15167;41.42;Appartement;42;2;;PIERRE SEMARD;1953
15168;111.5;Maison;110;5;;DU CHATEAU;1963
15169;48.23;Appartement;48;2;;DE BASSENON;1958
15170;56.02;Appartement;54;2;;PIERRE DUPONT;1953
15171;21.43;Appartement;21;1;;DE CHAZELLES;1952
15172;33.48;Appartement;39;1;;ANDRE LAFARGE;1954
15173;37.87;Appartement;38;2;;DE LA REPUBLIQUE;1953
15174;85.01;Appartement;84;4;;11/11/1918 00:00;1962
15175;63.57;Appartement;63;4;;ROUTE D'IRIGNY;1952
15176;66.11;Appartement;66;3;;DEPARTEMENTALE 386;1958
15177;145.35;Appartement;145;5;;DE PUTET;1952
15178;63.54;Appartement;64;4;;DE FONTANIERES;1954
15179;54.31;Appartement;54;2;;DES COLLONGES;1952
15180;97.19;Appartement;97;4;;DE L EUROPE;1966
15181;48.19;Appartement;48;2;;DE CHAMPEMIN;1974
15182;49.7;Appartement;49;2;;GENERAL DE GAULLE;1957
15183;72.33;Appartement;92;3;;DU VAGNOT;1963
15184;34.66;Appartement;38;2;;CREMAILLERE;1958
15185;79.93;Appartement;78;4;;5 RUE DE LA BASTERO LES CE;1954
15186;39.18;Appartement;39;1;;DE BRIGNAIS;1973
15187;69.05;Appartement;69;3;;AUGUSTE DELAUNE;1961
15188;124.54;Appartement;125;5;;DE LA TABLE ROMAINE;1957
15189;60.77;Appartement;61;3;;DU LOUP;1975
15190;134.1;Maison;136;4;69;AMPERE;1976
15191;88.14;Appartement;83;4;;DE CHARRIERE BLANCHE;1977
15192;87.7;Appartement;89;4;;DES TERRASSES;1978
15193;70.6;Appartement;70;3;;JEAN CLAUDE MARTIN;1979
15194;45.5;Appartement;81;4;;DE CHALIN;1977
15195;43.1;Appartement;43;2;;PIERRE DUMOND;1979
15196;206.78;Maison;180;3;;DU DOC TERVER;1977
15197;102.76;Appartement;102;6;;RAYMOND DE VEYSSIERES;1977
15198;55.02;Appartement;59;2;;DU CHANCELIER;1977
15199;52.02;Appartement;52;2;;DU HUIT MAI 1945;1980
15200;70.69;Appartement;71;3;;FRANCOIS MERMET;1980
15201;61.08;Appartement;65;3;;DES VARENNES;1981
15202;64.3;Appartement;64;3;;DE BORDEAUX;1982
15203;78.03;Maison;73;4;;MARIE ALIBERT;1983
15204;210.35;Maison;140;5;1625;DES MULETS;1984
15205;51.75;Appartement;53;2;;CHARLES DE GAULLE;1980
15206;81.6;Appartement;82;4;;DE LYON;1985
